,f,CP
0,1.314978665644354e-09,4.991120815007596e-06
1,2.6434188744490973e-09,1.0938377611541724e-06
2,3.961888790551357e-09,7.331380429251182e-07
3,5.283979597353404e-09,4.437278690445305e-07
4,6.6104211219856736e-09,2.3778561856891426e-07
5,7.949360316428697e-09,1.9661449578062888e-07
6,9.258482490681638e-09,1.7978785486928773e-07
7,1.0602078943809652e-08,2.562946411679062e-07
8,1.1936743309067305e-08,2.1830403193809e-07
9,1.3238587522540211e-08,1.241537334416799e-07
10,1.4572294337105131e-08,1.0052457639994928e-07
11,1.589012552268087e-08,1.6498174537387763e-07
12,1.7229575866722486e-08,1.0696416338709928e-07
13,1.8576748917662608e-08,6.143402695109218e-08
14,1.9916485360761077e-08,5.786010352649968e-08
15,2.1192694570698793e-08,6.66809971031479e-08
16,2.250827842644392e-08,7.380419671790206e-08
17,2.386058021814689e-08,7.020868113630974e-08
18,2.519909625673428e-08,8.59584716067449e-08
19,2.6562659342743324e-08,7.099021383916607e-08
20,2.7842357491342647e-08,7.856433554013429e-08
21,2.9183707123341954e-08,6.687523267918477e-08
22,3.047475023011724e-08,1.2136661280746298e-07
23,3.0937069983162656e-08,7.777438169815019e-07
24,3.1524845068270054e-08,3.070089623938614e-06
25,3.1763070118324885e-08,1.041499754121977e-05
26,3.2063384560690585e-08,3.0091905708512463e-06
27,3.2611123932896945e-08,7.93986036970675e-07
28,3.310585372229125e-08,1.5013871033992988e-07
29,3.450540349528234e-08,1.277939379882701e-07
30,3.582899880394202e-08,1.055262747273333e-07
31,3.713341204259307e-08,8.368874481573028e-08
32,3.848531457633937e-08,6.504370381920207e-08
33,3.981143636162515e-08,6.639070100240826e-08
