,run,q,qt,p,pt,r,rt
0,A,0.18,1.3582547625537706,0.033,0.24901337313485797,8.5e-05,0.0006413980823170585
1,B,0.52,1.5284815994967031,0.23,0.6760591690081572,0.007,0.020575713839378697
2,C,0.08,1.4239238060681456,0.047,0.8365552360650356,0.002,0.03559809515170364
3,D,0.21,1.4051604858259543,0.18,1.2044232735651037,0.015,0.10036860613042531
4,E,0.36,1.5389563096500285,0.37,1.581705096029196,0.045,0.19236953870625356
5,A',0.14334709623846587,1.0816770898008332,0.06026090710578552,0.45472035595690863,0.11921203799999999,0.8995573242624505
6,B',0.43942018615443695,1.2916262865086017,0.2855206137233558,0.8392557776022216,0.22830779999999998,0.6710851371568719
7,C',0.10121704401927573,1.8015669819861766,0.025794434229959643,0.45911636205123235,4.0695954e-05,0.0007243492213906772
8,D',0.2628896726765812,1.7590580008421473,0.12980880762929242,0.8685819390136399,0.00476373975,0.03187532791170671
9,E',0.4784981713653669,2.0455216110520333,0.3563079437913498,1.5231732174336818,0.02793416,0.11941514385214845
